aircraft_type,country_prefix,registration_number,category
"MDM-1 ""Fox""",OK,1213,AVREG_DATA.CATEGORIES.GLIDER
"MDM-1 ""Fox""",OK,7801,AVREG_DATA.CATEGORIES.GLIDER
A 15,OK,7906,AVREG_DATA.CATEGORIES.GLIDER
SZD-45A,OK,6902,AVREG_DATA.CATEGORIES.POWERED_GLIDER
SZD-45A,OK,8903,AVREG_DATA.CATEGORIES.POWERED_GLIDER
AB,OK,9004,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB,OK,4012,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB,OK,4014,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB,OK,7006,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB,OK,7004,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB,OK,8007,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB,OK,4016,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB,OK,1017,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB2,OK,1021,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB,OK,1024,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB,OK,4018,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB,OK,9002,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB,OK,1012,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB,OK,1016,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB,OK,1027,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB,OK,2010,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB,OK,1026,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB,OK,1022,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB,OK,1018,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AE 145,OK,NHE,AVREG_DATA.CATEGORIES.AIRPLANE
AE 45,OK,KGB,AVREG_DATA.CATEGORIES.AIRPLANE
AERO C-104 S,OK,RXE,AVREG_DATA.CATEGORIES.AIRPLANE
VM 23,OK,ZYV,AVREG_DATA.CATEGORIES.AIRPLANE
AB,OK,3035,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB,OK,4056,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB2,OK,4057,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB,OK,4054,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB,OK,6050,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AB,OK,6051,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AN 2,OK,PYA,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,RIE,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,UIA,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,VHJ,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,WHB,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,XIG,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,VHC,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,GIB,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,GIC,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,HIR,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,JIF,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,JIJ,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,JII,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,JIH,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,JID,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,JIL,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,KIQ,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,KIP,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,KIL,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,KIJ,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,RYA,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,KIE,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,MYA,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,KIV,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,KIT,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,KIC,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,JIQ,AVREG_DATA.CATEGORIES.AIRPLANE
AN 2,OK,JIM,AVREG_DATA.CATEGORIES.AIRPLANE
ASW 15,OK,0507,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,2029,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,3302,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,3306,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,3304,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,3300,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,2371,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,1313,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,0713,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,1272,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,0822,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,3985,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,6969,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,5310,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,8661,AVREG_DATA.CATEGORIES.GLIDER
ASW 19,OK,4489,AVREG_DATA.CATEGORIES.GLIDER
ASW 19,OK,6601,AVREG_DATA.CATEGORIES.GLIDER
ASW 19,OK,5283,AVREG_DATA.CATEGORIES.GLIDER
ASW 19,OK,5712,AVREG_DATA.CATEGORIES.GLIDER
ASW 19,OK,1600,AVREG_DATA.CATEGORIES.GLIDER
BB,OK,9039,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,9045,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB-S,OK,9050,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,4046,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,4048,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,7075,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,7071,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,6068,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
