id,category,type,registration_number,deletion_date,registration,country
858384,AVREG_DATA.CATEGORIES.GLIDER,"MDM-1 ""Fox""",1213,,OK-1213,CZ
858389,AVREG_DATA.CATEGORIES.GLIDER,"MDM-1 ""Fox""",7801,,OK-7801,CZ
858395,AVREG_DATA.CATEGORIES.GLIDER,A 15,7906,,OK-7906,CZ
858401,AVREG_DATA.CATEGORIES.POWERED_GLIDER,SZD-45A,6902,,OK-6902,CZ
858407,AVREG_DATA.CATEGORIES.POWERED_GLIDER,SZD-45A,8903,,OK-8903,CZ
858413,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,9004,,OK-9004,CZ
858419,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,4012,,OK-4012,CZ
858425,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,4014,,OK-4014,CZ
858431,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,7006,,OK-7006,CZ
858437,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,7004,,OK-7004,CZ
858443,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,8007,,OK-8007,CZ
858449,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,4016,,OK-4016,CZ
858455,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,1017,,OK-1017,CZ
858461,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB2,1021,,OK-1021,CZ
858467,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,1024,,OK-1024,CZ
858473,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,4018,,OK-4018,CZ
858479,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,9002,,OK-9002,CZ
858491,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,1012,,OK-1012,CZ
858497,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,1016,,OK-1016,CZ
858503,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,1014,2004-02-05T23:00:00.000Z,OK-1014,CZ
858509,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,1027,,OK-1027,CZ
858515,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,2010,,OK-2010,CZ
858521,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,1026,,OK-1026,CZ
858527,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,1022,,OK-1022,CZ
858533,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,1018,,OK-1018,CZ
858539,AVREG_DATA.CATEGORIES.AIRPLANE,AE 145,NHE,,OK-NHE,CZ
858545,AVREG_DATA.CATEGORIES.AIRPLANE,AE 45,KGB,,OK-KGB,CZ
858561,AVREG_DATA.CATEGORIES.AIRPLANE,AERO C-104 S,RXE,,OK-RXE,CZ
858567,AVREG_DATA.CATEGORIES.AIRPLANE,VM 23,ZYV,,OK-ZYV,CZ
858573,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,3035,,OK-3035,CZ
858579,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,4053,2014-07-01T23:00:00.000Z,OK-4053,CZ
858585,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,4056,,OK-4056,CZ
858591,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB2,4057,,OK-4057,CZ
858597,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,4054,,OK-4054,CZ
858603,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,6050,,OK-6050,CZ
858609,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,AB,6051,,OK-6051,CZ
858615,AVREG_DATA.CATEGORIES.AIRPLANE,AN 2,PYA,,OK-PYA,CZ
858621,AVREG_DATA.CATEGORIES.AIRPLANE,AN 2,RID,2021-01-27T10:30:00.000Z,OK-RID,CZ
